iter	Logloss
0	0.6804784935
1	0.6709121408
2	0.6605950773
3	0.6530335756
4	0.6453506729
5	0.6383761664
6	0.6334823333
7	0.6281742869
8	0.6230586825
9	0.6177851473
10	0.6139839072
11	0.6106840683
12	0.6072144705
13	0.6039961623
14	0.6015093654
15	0.5983411264
16	0.5962219733
17	0.5937899417
18	0.5920873047
19	0.5900458579
20	0.5888230809
21	0.5874954315
22	0.5854846196
23	0.5842773763
24	0.5830125841
25	0.5815188243
26	0.580866479
27	0.5796810293
28	0.5782727335
29	0.5772466317
30	0.5763423309
31	0.5754826202
32	0.5745180684
33	0.5739666948
34	0.5732988184
35	0.5725191192
36	0.5715787483
37	0.571057036
38	0.5706593383
39	0.5702368334
40	0.5699006256
41	0.5694221669
42	0.5690272521
43	0.5684410875
44	0.5679365464
45	0.5674355266
46	0.5669751954
47	0.5664308278
48	0.5661303059
49	0.5659231876
50	0.5653112791
51	0.5649834119
52	0.5647619012
53	0.564494606
54	0.5642407439
55	0.5638085444
56	0.5635646907
57	0.5631561279
58	0.5627965475
59	0.5625086728
60	0.5622091921
61	0.5618798553
62	0.5616080032
63	0.5613120324
64	0.5611158338
65	0.5608410232
66	0.5606283274
67	0.5603936597
68	0.5601364548
69	0.55992046
70	0.5597087705
71	0.5594816271
72	0.5592281833
73	0.5590646711
74	0.5588369068
75	0.5585838471
76	0.5583572437
77	0.5582050065
78	0.5579582025
79	0.5577391145
80	0.5575527136
81	0.5572793543
82	0.5570673801
83	0.5569646903
84	0.5568117962
85	0.5565509677
86	0.5564366977
87	0.5562822348
88	0.5560387198
89	0.5558796435
90	0.5557416137
91	0.5556170021
92	0.5555012382
93	0.5553457892
94	0.5552013391
95	0.5550449535
96	0.5549414421
97	0.554753966
98	0.5546158301
99	0.55441006
100	0.554294815
101	0.5542292069
102	0.5540741732
103	0.5539186434
104	0.5537019918
105	0.5535070663
106	0.5533513256
107	0.553218952
108	0.5530838224
109	0.5529774489
110	0.5528268368
111	0.5527229741
112	0.5526061238
113	0.5524943771
114	0.5524072603
115	0.5522655975
116	0.5521642827
117	0.5520435645
118	0.5519259632
119	0.5517762201
120	0.5516491044
121	0.5514423051
122	0.5513608032
123	0.5512609221
124	0.551024123
125	0.5509182323
126	0.5508141706
127	0.5507339155
128	0.5506290748
129	0.5504742842
130	0.5503770771
131	0.5502752142
132	0.5501674457
133	0.5500758282
134	0.5499792809
135	0.5498849282
136	0.5497096914
137	0.5496108205
138	0.5494660418
139	0.5492948918
140	0.5490985265
141	0.5489701408
142	0.5488772274
143	0.5487596195
144	0.5486358563
145	0.5484204658
146	0.5483337189
147	0.5482414252
148	0.5481628597
149	0.5480776628
150	0.5479653686
151	0.5478963999
152	0.5477811835
153	0.5476922216
154	0.5475533644
155	0.5474973874
156	0.5474006081
157	0.5472411924
158	0.5471718211
159	0.5471143503
160	0.5470499576
161	0.5469462415
162	0.5468549714
163	0.5467365286
164	0.5465497177
165	0.5463748019
166	0.5462946711
167	0.5462318359
168	0.5460763159
169	0.5460152696
170	0.5458269215
171	0.5457001664
172	0.5456369624
173	0.5455973881
174	0.5455096613
175	0.5454191455
176	0.5453337984
177	0.5451857998
178	0.5451046725
179	0.5450173287
180	0.5449218689
181	0.5448423449
182	0.5447666267
183	0.5446622514
184	0.5445126826
185	0.5443832406
186	0.5443092083
187	0.5442157525
188	0.5441747426
189	0.5440613085
190	0.544008611
191	0.5439147612
192	0.5438591086
193	0.5437781078
194	0.5437092767
195	0.5435918936
196	0.5435300507
197	0.5433368437
198	0.5432700047
199	0.5431081393
200	0.5430323121
201	0.5429766976
202	0.5429354789
203	0.5428645688
204	0.542765785
205	0.5426696915
206	0.5425116633
207	0.5424121515
208	0.5423264365
209	0.5422050511
210	0.5421198324
211	0.5420031122
212	0.5419480916
213	0.5418893207
214	0.5418221831
215	0.5417601708
216	0.5416661144
217	0.5415059238
218	0.5414145893
219	0.5413411643
220	0.5411477844
221	0.5410364367
222	0.5409512479
223	0.5408994762
224	0.5408463779
225	0.540775798
226	0.5406291585
227	0.5405082944
228	0.5404177893
229	0.5403455394
230	0.5402708061
231	0.5401675091
232	0.540099381
233	0.5400313735
234	0.5398797042
235	0.5397947876
236	0.5397417046
237	0.5396456282
238	0.5395903505
239	0.5394902442
240	0.5393185717
241	0.5391335902
242	0.5390720974
243	0.5389411136
244	0.5387825943
245	0.5386996464
246	0.5385371427
247	0.5383882277
248	0.5382493572
249	0.538167689
250	0.5380398982
251	0.5379181175
252	0.5378167093
253	0.5376416617
254	0.5375121464
255	0.5374337649
256	0.5372883111
257	0.5371731149
258	0.5370383043
259	0.5369375759
260	0.5368642721
261	0.5367610198
262	0.5366442272
263	0.5364901017
264	0.5363357396
265	0.5362003908
266	0.5359753814
267	0.5358310176
268	0.5357082681
269	0.5355887824
270	0.5354996946
271	0.5353793007
272	0.5352474173
273	0.5351303251
274	0.5349867358
275	0.5348013064
276	0.5346863668
277	0.5345489337
278	0.534452395
279	0.5343190262
280	0.5340581129
281	0.533946319
282	0.5337616008
283	0.5336090451
284	0.5334846209
285	0.5333702904
286	0.5332209916
287	0.5330846262
288	0.5329672309
289	0.5328378305
290	0.5327313983
291	0.5325846825
292	0.5324319328
293	0.5323230059
294	0.532193099
295	0.5320898416
296	0.5319122387
297	0.5317977728
298	0.5316776702
299	0.5315129743
300	0.5313602051
301	0.5312376177
302	0.5311008245
303	0.5309629873
304	0.5308302004
305	0.5306973585
306	0.5305725799
307	0.5304364166
308	0.5303314541
309	0.5302134168
310	0.5299991225
311	0.5298919308
312	0.5297503644
313	0.5296740878
314	0.5295499677
315	0.5294642607
316	0.5293131825
317	0.5292235163
318	0.5291300452
319	0.529017972
320	0.5288946222
321	0.5288016093
322	0.5286976734
323	0.5285704959
324	0.5284081192
325	0.5282915342
326	0.5281521358
327	0.5280318879
328	0.5279088881
329	0.5277636225
330	0.5276842168
331	0.5275501842
332	0.5274023941
333	0.5272869765
334	0.5271822189
335	0.5270654203
336	0.5269607403
337	0.5268677424
338	0.5267570288
339	0.5265766652
340	0.5264854351
341	0.5263716495
342	0.5262935851
343	0.526204782
344	0.5260863723
345	0.525981582
346	0.5258282519
347	0.5256999691
348	0.5256003452
349	0.525483773
350	0.5253348509
351	0.5252336955
352	0.5251160534
353	0.5250111099
354	0.5249461552
355	0.5247938356
356	0.5247098389
357	0.5246165634
358	0.5244609069
359	0.5243357722
360	0.5241873073
361	0.524055666
362	0.5239470291
363	0.5238294891
364	0.5236997533
365	0.5235449637
366	0.523439881
367	0.5233335685
368	0.5232283863
369	0.5231060873
370	0.522972858
371	0.5228671663
372	0.5227809497
373	0.5226517028
374	0.5225791936
375	0.5224659539
376	0.5223785902
377	0.5222695376
378	0.5221784897
379	0.5220671266
380	0.521933045
381	0.5218361686
382	0.5216841826
383	0.5215494071
384	0.5214386387
385	0.5213727904
386	0.5212376808
387	0.5211348118
388	0.52104852
389	0.5209313094
390	0.5208164262
391	0.5206348256
392	0.520580224
393	0.5204071073
394	0.5203259534
395	0.5201986757
396	0.5200811883
397	0.5199425382
398	0.5198213899
399	0.5196972835
400	0.5195962261
401	0.5195000175
402	0.5193530305
403	0.5192597514
404	0.5191528206
405	0.5190806933
406	0.5189852925
407	0.5188732141
408	0.5187813121
409	0.5187043752
410	0.5185939379
411	0.5185070579
412	0.5183440183
413	0.5182497406
414	0.5181353962
415	0.5180307586
416	0.5179251703
417	0.5178497779
418	0.5177787456
419	0.5176424493
420	0.5174957296
421	0.5174000007
422	0.5172788704
423	0.5171528423
424	0.5170715658
425	0.5169795735
426	0.5168812175
427	0.516816033
428	0.5166110583
429	0.5165073127
430	0.5163664878
431	0.5162845804
432	0.5161790741
433	0.5160535031
434	0.5159071978
435	0.5158140173
436	0.5156943144
437	0.5156267806
438	0.5155640377
439	0.515514962
440	0.5154119818
441	0.5153359962
442	0.5152486631
443	0.5151820102
444	0.5151198805
445	0.5150747705
446	0.5150141562
447	0.5149458093
448	0.5148438653
449	0.5147710708
450	0.514686862
451	0.5145848063
452	0.514492444
453	0.5143662533
454	0.514296035
455	0.5141552077
456	0.5140436661
457	0.5139163143
458	0.5138378415
459	0.5137234906
460	0.5136010021
461	0.5135148928
462	0.5134327442
463	0.5133576849
464	0.5133188164
465	0.5132352842
466	0.5131327837
467	0.5130259774
468	0.512948647
469	0.5128301772
470	0.5127328402
471	0.5126690664
472	0.5125443398
473	0.5124330428
474	0.5123557868
475	0.5122734882
476	0.5121845649
477	0.5120949858
478	0.5119982438
479	0.5118365266
480	0.5117646595
481	0.5116230395
482	0.5115450618
483	0.5114647345
484	0.5113624794
485	0.5112725219
486	0.5111995398
487	0.5111402703
488	0.5110670762
489	0.5109619699
490	0.5108790116
491	0.510822942
492	0.5107380909
493	0.510649485
494	0.5105799526
495	0.5104346498
496	0.5103442344
497	0.5102642465
498	0.5101790844
499	0.5100916468
500	0.5099577499
501	0.5098887959
502	0.5097868052
503	0.5096972469
504	0.5095910112
505	0.5095177821
506	0.5093794499
507	0.5092774338
508	0.5092114205
509	0.5091273692
510	0.5090432892
511	0.5089013414
512	0.5087646317
513	0.5086881703
514	0.5085725697
515	0.5084752145
516	0.5083636147
517	0.5082500181
518	0.5081657329
519	0.508093725
520	0.5079694897
521	0.5078784799
522	0.5077883663
523	0.5077175694
524	0.5076502571
525	0.5075615515
526	0.5074966207
527	0.5074632855
528	0.5073782531
529	0.5073006792
530	0.507231193
531	0.5071484537
532	0.5070475754
533	0.5069928446
534	0.5069311126
535	0.5068025947
536	0.506715773
537	0.5066515929
538	0.506528617
539	0.5064292176
540	0.5063591497
541	0.506280584
542	0.5062089256
543	0.5061067128
544	0.5060542744
545	0.5059390153
546	0.5058665756
547	0.5057878669
548	0.5057504165
549	0.5056534626
550	0.5055661459
551	0.5054289404
552	0.5053176221
553	0.5052429778
554	0.5051518323
555	0.5050543753
556	0.5049699365
557	0.5048470897
558	0.5047252537
559	0.5046704512
560	0.5045541103
561	0.5044732317
562	0.5044121056
563	0.5043542148
564	0.5042945974
565	0.5042330602
566	0.5041367471
567	0.504084207
568	0.5040125838
569	0.5038931731
570	0.5037526955
571	0.5036668939
572	0.5035849058
573	0.503488403
574	0.5034359845
