iter	Passed	Remaining
0	45	113884
1	90	113590
2	130	108763
3	167	104555
4	205	102359
5	241	100177
6	276	98519
7	311	97126
8	347	96173
9	384	95729
10	423	95774
11	458	95154
12	494	94661
13	532	94576
14	570	94574
15	607	94275
16	641	93743
17	678	93501
18	712	93010
19	773	95942
20	809	95537
21	845	95260
22	883	95173
23	919	94865
24	953	94373
25	991	94323
26	1028	94158
27	1065	94025
28	1098	93637
29	1134	93447
30	1173	93475
31	1208	93238
32	1243	92925
33	1279	92769
34	1316	92704
35	1351	92475
36	1384	92172
37	1419	91978
38	1454	91759
39	1489	91609
40	1522	91309
41	1557	91123
42	1594	91114
43	1626	90779
44	1664	90787
45	1700	90714
46	1734	90527
47	1771	90496
48	1807	90396
49	1840	90180
50	1878	90187
51	1915	90163
52	1948	89959
53	1988	90063
54	2022	89916
55	2055	89703
56	2088	89513
57	2122	89366
58	2158	89310
59	2191	89125
60	2224	88943
61	2258	88829
62	2294	88770
63	2328	88609
64	2361	88453
65	2396	88370
66	2430	88243
67	2465	88162
68	2500	88112
69	2536	88049
70	2573	88030
71	2605	87856
72	2640	87770
73	2673	87648
74	2709	87615
75	2743	87504
76	2777	87389
77	2810	87260
78	2843	87134
79	2879	87119
80	2916	87113
81	2951	87022
82	2987	87011
83	3018	86824
84	3049	86639
85	3084	86577
86	3119	86512
87	3154	86475
88	3191	86450
89	3227	86413
90	3260	86309
91	3293	86203
92	3325	86058
93	3360	86025
94	3397	86005
95	3434	86005
96	3468	85917
97	3505	85928
98	3541	85901
99	3576	85836
100	3611	85780
101	3644	85674
102	3680	85655
103	3713	85560
104	3749	85528
105	3782	85428
106	3815	85334
107	3848	85247
108	3881	85139
109	3914	85048
110	3949	85004
111	3982	84908
112	4016	84847
113	4055	84891
114	4093	84890
115	4128	84844
116	4162	84774
117	4195	84685
118	4233	84710
119	4272	84740
120	4306	84676
121	4341	84619
122	4373	84511
123	4405	84417
124	4443	84418
125	4480	84418
126	4514	84348
127	4547	84279
128	4581	84206
129	4617	84184
130	4650	84103
131	4683	84026
132	4717	83960
133	4752	83921
134	4786	83843
135	4819	83769
136	4853	83714
137	4885	83621
138	4924	83652
139	4959	83595
140	4993	83551
141	5028	83503
