iter	Passed	Remaining
0	6	17201
1	10	12496
2	12	10757
3	15	9934
4	20	10397
5	23	9862
6	26	9441
7	29	9141
8	32	8933
9	35	8746
10	37	8596
11	40	8499
12	44	8427
13	46	8335
14	49	8269
15	52	8216
16	56	8185
17	58	8122
18	61	8064
19	64	8006
20	67	8015
21	70	7957
22	74	7980
23	77	7945
24	79	7911
25	82	7873
26	85	7846
27	88	7814
28	91	7781
29	93	7736
30	96	7721
31	99	7690
32	102	7675
33	105	7665
34	108	7650
35	111	7632
36	114	7614
37	117	7637
38	120	7620
39	123	7606
40	126	7590
41	129	7581
42	132	7566
43	135	7552
44	138	7542
45	141	7524
46	143	7509
47	147	7530
48	150	7514
49	153	7498
50	155	7486
51	158	7478
52	161	7463
53	164	7452
54	167	7467
55	170	7461
56	173	7449
57	176	7444
58	179	7439
59	182	7431
60	185	7419
61	188	7413
62	191	7417
63	194	7408
64	197	7407
65	200	7400
66	203	7388
67	206	7384
68	209	7372
69	212	7370
70	215	7369
71	218	7364
72	221	7355
73	224	7349
74	226	7339
75	230	7354
76	233	7345
77	236	7339
78	239	7333
79	242	7328
80	245	7322
81	247	7311
82	250	7303
83	253	7296
84	256	7287
85	259	7280
86	264	7332
87	270	7425
88	273	7419
89	276	7413
90	279	7407
91	282	7398
92	285	7390
93	288	7384
94	291	7374
95	294	7367
96	297	7358
97	300	7353
98	302	7348
99	305	7337
100	308	7328
101	311	7326
102	314	7323
103	317	7315
104	320	7304
105	323	7297
106	325	7289
107	328	7280
108	331	7274
109	334	7267
110	337	7259
111	340	7252
112	342	7244
113	345	7236
114	348	7228
115	351	7221
116	354	7216
117	357	7208
118	360	7203
119	363	7209
120	366	7202
121	370	7213
122	372	7207
123	375	7202
124	378	7197
125	381	7193
126	384	7188
127	387	7185
128	390	7180
129	393	7174
130	396	7171
131	399	7168
132	402	7166
133	405	7162
134	408	7158
135	411	7151
136	414	7149
137	417	7146
138	420	7140
139	423	7137
140	426	7131
141	429	7125
142	431	7119
143	435	7117
144	438	7114
145	440	7109
146	443	7105
147	446	7099
148	449	7095
149	452	7091
150	455	7086
151	458	7082
152	461	7076
153	464	7073
154	467	7071
155	470	7065
156	473	7060
157	476	7057
158	480	7070
159	483	7067
160	486	7062
161	489	7058
162	491	7053
163	495	7052
164	498	7049
165	501	7055
166	504	7049
167	507	7047
168	510	7039
169	513	7036
170	516	7032
171	519	7026
172	522	7026
173	525	7022
174	528	7018
175	531	7013
176	534	7008
177	536	7004
178	540	7002
179	542	6998
180	546	6995
181	549	7001
182	552	6997
183	555	6993
184	558	6990
185	561	6986
186	564	6982
187	567	6979
188	570	6976
189	573	6971
190	576	6967
191	579	6964
192	582	6962
193	585	6958
194	588	6953
195	591	6949
196	594	6945
197	597	6941
198	600	6938
199	602	6934
200	605	6930
201	608	6925
202	611	6920
203	614	6917
204	617	6915
205	620	6910
206	623	6905
207	626	6903
208	629	6900
209	632	6897
210	635	6892
211	638	6888
212	641	6884
213	644	6880
214	647	6876
215	649	6871
216	652	6867
217	655	6863
218	658	6859
219	661	6855
220	664	6852
221	667	6846
222	670	6842
223	673	6838
224	675	6834
225	678	6830
226	681	6824
227	684	6821
228	687	6818
229	690	6814
230	693	6811
231	696	6806
232	699	6802
233	702	6798
234	705	6795
235	707	6791
236	710	6787
237	713	6782
238	716	6777
239	719	6774
240	722	6769
241	725	6766
242	728	6762
243	730	6756
244	733	6751
245	736	6746
246	739	6743
247	742	6738
248	745	6736
249	748	6732
250	750	6727
251	753	6723
252	756	6719
253	759	6715
254	762	6711
255	765	6706
256	768	6703
257	771	6700
258	773	6696
259	776	6692
260	779	6688
261	782	6685
262	785	6683
263	788	6679
264	791	6676
265	794	6672
266	797	6669
267	800	6664
268	803	6661
269	806	6657
270	808	6653
271	811	6648
272	814	6646
273	817	6642
274	820	6638
275	823	6634
276	826	6631
277	828	6625
278	831	6621
279	834	6617
280	837	6614
281	840	6610
282	843	6607
283	846	6604
284	850	6606
285	852	6602
286	855	6599
287	858	6595
288	861	6592
289	864	6588
290	867	6583
291	870	6579
292	873	6576
293	876	6573
294	879	6571
295	882	6568
296	884	6564
297	888	6564
298	891	6560
299	894	6557
300	897	6553
301	900	6550
302	902	6546
303	905	6543
304	908	6539
305	911	6535
306	914	6531
307	917	6527
308	920	6524
309	923	6521
310	925	6517
311	928	6513
312	931	6508
313	934	6505
314	937	6502
315	940	6501
316	943	6497
317	946	6493
318	949	6489
319	952	6488
320	955	6486
321	958	6482
322	961	6478
323	964	6474
324	967	6471
325	969	6468
326	973	6469
327	976	6465
328	979	6461
329	982	6458
330	985	6455
331	987	6451
332	990	6447
333	993	6444
334	996	6440
335	999	6437
336	1002	6433
337	1005	6429
338	1008	6426
339	1010	6422
340	1014	6420
341	1016	6417
342	1019	6412
343	1022	6408
344	1025	6405
345	1028	6401
346	1031	6398
347	1033	6394
348	1036	6389
349	1039	6386
350	1042	6382
351	1045	6379
352	1048	6376
353	1051	6373
354	1054	6370
355	1057	6367
356	1060	6364
357	1063	6361
358	1066	6358
359	1069	6355
360	1072	6352
361	1075	6349
362	1077	6346
363	1081	6345
364	1084	6342
365	1087	6338
366	1089	6334
367	1092	6329
368	1095	6327
369	1098	6323
370	1101	6320
371	1104	6316
372	1107	6315
373	1110	6311
374	1113	6308
375	1116	6304
376	1118	6300
377	1121	6297
378	1124	6294
379	1127	6291
380	1130	6288
381	1133	6286
382	1136	6282
383	1139	6278
384	1142	6275
385	1145	6274
