iter	Passed	Remaining
0	9	9281
1	15	7751
2	18	6111
3	24	6080
4	30	6118
5	37	6130
6	42	6069
7	48	6021
8	54	5993
9	60	6003
10	66	5974
11	72	5950
12	78	5927
13	83	5905
14	89	5888
15	95	5882
16	101	5879
17	107	5882
18	113	5872
19	119	5868
20	125	5861
21	131	5852
22	137	5852
23	143	5833
24	149	5847
25	155	5834
26	162	5846
27	168	5837
28	173	5821
29	179	5810
30	185	5802
31	191	5792
32	201	5895
33	206	5879
34	212	5863
35	218	5855
36	224	5841
37	230	5835
38	237	5855
39	243	5848
40	249	5832
41	255	5830
42	262	5833
43	268	5822
44	273	5809
45	279	5796
46	288	5854
47	297	5907
48	304	5902
49	311	5915
50	317	5905
51	324	5908
52	330	5900
53	336	5901
54	343	5899
55	349	5884
56	354	5871
57	360	5859
58	366	5853
59	373	5843
60	379	5835
61	384	5822
62	390	5814
63	396	5803
64	402	5793
65	408	5780
66	415	5783
67	421	5775
68	427	5762
69	433	5759
70	439	5750
71	445	5741
72	451	5731
73	457	5723
74	464	5730
75	474	5771
76	480	5760
77	486	5751
78	492	5740
79	498	5734
80	504	5723
81	510	5712
82	516	5707
83	522	5701
84	529	5696
85	535	5689
86	540	5677
87	546	5667
88	552	5657
89	558	5649
90	565	5645
91	570	5634
92	576	5626
93	582	5613
94	588	5602
95	593	5588
96	600	5586
97	606	5578
98	612	5575
99	618	5567
100	624	5558
101	631	5563
102	638	5558
103	643	5547
104	649	5538
105	655	5531
106	662	5525
107	667	5517
108	674	5514
109	680	5504
110	686	5495
111	691	5485
112	697	5475
113	703	5466
114	709	5457
115	715	5449
116	720	5440
117	726	5430
118	732	5425
119	738	5416
120	745	5412
121	751	5405
122	757	5398
123	762	5389
124	768	5381
125	774	5373
126	780	5364
127	786	5358
128	792	5351
129	798	5343
130	804	5335
131	809	5325
132	815	5316
133	821	5311
134	827	5303
135	833	5294
136	839	5286
137	844	5277
138	851	5271
139	856	5264
140	862	5255
141	868	5248
142	875	5246
143	881	5238
144	886	5228
145	895	5236
146	901	5231
147	907	5223
148	913	5217
149	919	5211
150	925	5205
151	931	5197
152	937	5189
153	942	5180
154	949	5177
155	959	5190
156	965	5181
157	971	5177
158	977	5168
159	982	5160
160	988	5152
161	994	5144
162	1000	5136
163	1006	5129
164	1011	5121
165	1017	5111
166	1023	5102
167	1028	5095
168	1035	5089
169	1040	5080
170	1046	5071
171	1051	5062
172	1057	5056
173	1063	5048
174	1069	5040
175	1075	5032
176	1081	5026
177	1087	5021
178	1092	5012
179	1098	5004
180	1104	4996
181	1110	4989
182	1116	4985
183	1122	4979
184	1128	4971
185	1134	4964
186	1140	4956
187	1146	4949
188	1151	4942
189	1157	4934
190	1163	4926
191	1168	4919
192	1174	4911
193	1180	4906
194	1186	4899
195	1193	4895
196	1198	4886
197	1204	4878
198	1210	4872
199	1216	4864
200	1222	4859
201	1228	4852
202	1233	4844
203	1239	4836
204	1245	4829
205	1251	4824
206	1258	4821
207	1264	4814
208	1270	4806
209	1275	4800
210	1281	4792
211	1287	4784
212	1293	4778
213	1298	4770
214	1304	4764
215	1310	4757
216	1316	4752
217	1322	4745
218	1328	4737
219	1334	4731
220	1340	4723
221	1345	4716
222	1351	4709
223	1357	4701
224	1363	4697
225	1369	4689
226	1375	4682
227	1381	4676
228	1386	4668
229	1392	4660
230	1397	4652
231	1403	4644
232	1408	4637
233	1414	4630
234	1420	4624
235	1426	4617
236	1432	4611
237	1437	4603
